CPU: [11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz]
12 threads with OpenMP
Training data: (40000,3072) 468.8 MB
Validation data: (10000,3072) 117.2 MB
Testing data: (10000,3072) 117.2 MB

Network: cifar10cnn-student
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,8] (k:5,s:1,pad:no), parameters:600, memory:29.2 KB
Maxpool2D shape:[14,14,8] (k:2,s:2), parameters:0, memory:6.1 KB
Conv2D(ReLU), shape:[12,12,16] (k:3,s:1,pad:no), parameters:1152, memory:18.0 KB
Maxpool2D shape:[6,6,16] (k:2,s:2), parameters:0, memory:2.2 KB
Conv2D(ReLU), shape:[4,4,32] (k:3,s:1,pad:no), parameters:4608, memory:38.0 KB
Maxpool2D shape:[2,2,32] (k:2,s:2), parameters:0, memory:512 bytes
Dense(ReLU), shape:[64], parameters:8256, memory:64.5 KB
Dense(Softmax), shape:[10], parameters:650, memory:5.1 KB

Training...
epoch: 137, time: 7.67 secs (speed 5569.8), loss (CCE): 22982.6270, validation accuracy: 0.6339
epoch: 138, time: 7.05 secs (speed 6113.5), loss (CCE): 22901.2188, validation accuracy: 0.6278
epoch: 139, time: 6.87 secs (speed 6272.8), loss (CCE): 22763.4844, validation accuracy: 0.6288
epoch: 140, time: 6.89 secs (speed 6250.5), loss (CCE): 22698.2832, validation accuracy: 0.6306
epoch: 141, time: 7.28 secs (speed 5925.5), loss (CCE): 22801.6270, validation accuracy: 0.6355
epoch: 142, time: 7.80 secs (speed 5485.2), loss (CCE): 22828.4570, validation accuracy: 0.6241
epoch: 143, time: 7.66 secs (speed 5553.8), loss (CCE): 22613.1113, validation accuracy: 0.6236
epoch: 144, time: 7.74 secs (speed 5509.6), loss (CCE): 22564.5059, validation accuracy: 0.6222
epoch: 145, time: 7.73 secs (speed 5517.9), loss (CCE): 22590.6055, validation accuracy: 0.6151
epoch: 146, time: 7.71 secs (speed 5549.3), loss (CCE): 22445.9609, validation accuracy: 0.6248
